"KMETIJSKE KULTURE","STATISTIÈNA REGIJA","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Pšenica in pira","SLOVENIJA",4.8,5.2,5.4,4.4,5.2,5.1,5.2,5.0,4.4,5.2
"Pšenica in pira","Pomurska",4.9,5.2,5.7,4.3,5.2,5.0,5.1,5.3,4.3,5.5
"Pšenica in pira","Podravska",5.0,5.3,5.5,4.8,5.7,5.5,5.7,5.1,4.6,5.0
"Pšenica in pira","Koroška",3.5,3.8,3.8,3.6,3.8,4.4,4.2,4.4,4.3,5.3
"Pšenica in pira","Savinjska",4.7,4.8,5.0,4.6,5.2,5.3,5.0,4.8,4.0,5.2
"Pšenica in pira","Zasavska",3.9,4.5,3.9,3.7,4.1,4.1,3.5,3.4,2.6,2.7
"Pšenica in pira","Posavska",4.0,4.6,4.9,3.8,4.7,4.8,4.6,4.1,4.3,5.0
"Pšenica in pira","Jugovzhodna Slovenija",3.7,4.2,4.2,2.9,4.3,4.3,4.3,3.8,3.6,4.5
"Pšenica in pira","Osrednjeslovenska",4.2,5.0,4.6,3.9,4.3,5.0,5.0,4.7,4.5,4.8
"Pšenica in pira","Gorenjska",5.0,5.0,5.5,5.2,5.6,5.4,5.0,4.7,4.4,4.3
"Pšenica in pira","Primorsko-notranjska",4.1,4.3,3.9,4.1,4.6,4.4,4.5,4.3,4.2,4.5
"Pšenica in pira","Goriška",4.3,4.3,3.5,3.1,4.4,4.5,4.8,4.2,5.2,4.0
"Pšenica in pira","Obalno-kraška",3.2,3.9,3.8,3.4,3.9,3.8,3.6,3.0,3.7,3.8
"Jeèmen","SLOVENIJA",4.3,4.5,4.7,4.0,4.9,4.6,4.8,4.8,4.2,4.8
"Jeèmen","Pomurska",4.4,4.8,5.2,3.9,4.9,4.5,4.6,5.1,4.1,5.6
"Jeèmen","Podravska",4.6,4.8,4.9,4.7,5.2,4.9,5.3,5.2,4.5,4.6
"Jeèmen","Koroška",3.1,3.3,3.3,3.3,3.6,4.0,4.0,4.1,4.1,5.0
"Jeèmen","Savinjska",3.9,4.1,4.0,4.3,4.7,4.6,4.7,4.3,3.9,4.1
"Jeèmen","Zasavska",3.5,3.5,3.0,3.1,3.5,3.3,2.8,2.8,2.2,2.3
"Jeèmen","Posavska",3.9,4.2,4.5,3.8,4.5,4.6,4.6,3.9,4.2,4.7
"Jeèmen","Jugovzhodna Slovenija",3.5,3.8,3.7,2.7,4.0,3.9,4.1,3.6,3.5,4.0
"Jeèmen","Osrednjeslovenska",4.4,4.5,4.5,3.8,4.6,4.8,4.9,4.9,4.3,4.8
"Jeèmen","Gorenjska",4.7,4.7,4.9,4.7,5.9,5.6,5.3,5.6,4.6,4.8
"Jeèmen","Primorsko-notranjska",4.0,4.2,3.9,4.1,4.2,4.3,4.3,4.2,4.4,4.6
"Jeèmen","Goriška",3.7,4.3,3.6,2.6,3.6,4.3,4.2,3.7,4.4,4.4
"Jeèmen","Obalno-kraška",2.9,3.5,3.1,3.2,3.6,3.4,3.2,2.9,3.4,3.5
"Tritikala","SLOVENIJA",4.0,4.4,4.4,3.6,4.7,4.7,4.7,4.6,4.2,4.6
"Tritikala","Pomurska",4.0,4.5,4.4,3.0,4.8,4.4,4.4,4.6,3.8,4.8
"Tritikala","Podravska",4.2,4.9,4.7,4.4,5.1,5.0,5.1,4.8,4.7,5.1
"Tritikala","Koroška",3.2,3.5,3.5,3.4,3.6,4.1,4.3,4.3,4.2,5.0
"Tritikala","Savinjska",4.5,4.4,4.4,4.7,5.1,5.2,5.1,4.6,3.8,4.5
"Tritikala","Zasavska",3.5,3.5,3.5,3.5,4.0,3.5,3.5,3.4,4.2,4.7
"Tritikala","Posavska",3.7,4.0,4.5,3.8,4.5,4.5,4.6,3.9,4.4,4.5
"Tritikala","Jugovzhodna Slovenija",3.4,3.9,3.8,2.8,4.0,4.4,4.3,3.9,3.9,4.1
